date,port_ret,equity,market_ok,market_price,market_sma,market_entry_th,market_exit_th,n_holdings,gross_exposure,cash_weight,risk_on_portfolio
2021-03-30,0.0,1.1714410717777453,1,1.7493544903411204,1.6822103979330245,1.715854605891685,1.6822103979330245,1,0.0,1.0,0
2021-03-31,-0.0004999999999999999,1.1708553512418565,1,1.7557121680509882,1.6854884414486468,1.7191982102776198,1.6854884414486468,30,1.0,0.0,1
2021-04-01,0.008274633544171397,1.180543750206615,1,1.7530067483475973,1.6883045245849992,1.7220706150766993,1.6883045245849992,30,1.0,0.0,1
2021-04-02,-0.0009498170547913537,1.1794224496187413,1,1.7520772642471236,1.6906504182094955,1.7244634265736853,1.6906504182094955,30,1.0,0.0,1
2021-04-05,0.01310274257583135,1.1948761183642522,1,1.757612909697785,1.693163982294938,1.7270272619408369,1.693163982294938,30,1.0,0.0,1
2021-04-06,0.004957327130573707,1.2007995101634938,1,1.7573683572846184,1.6951146596461502,1.729016952839073,1.6951146596461502,30,1.0,0.0,1
2021-04-07,-0.0010854712042430048,1.1994960768731424,1,1.766362451436473,1.6967453280996365,1.7306802346616292,1.6967453280996365,30,1.0,0.0,1
2021-04-08,0.0016719968006555796,1.2015016304760733,1,1.776075691485065,1.6989083016960829,1.7328864677300047,1.6989083016960829,30,1.0,0.0,1
2021-04-09,0.0017410301962187025,1.203593481095538,1,1.7773820742767579,1.7010984886001161,1.7351204583721185,1.7010984886001161,30,1.0,0.0,1
2021-04-12,0.0016270369928675181,1.2055517722136546,1,1.7827552901763968,1.7031319235471323,1.7371945620180749,1.7031319235471323,30,1.0,0.0,1
2021-04-13,-0.0004459367556868081,1.2050141723675412,1,1.7899026181452138,1.7050706972514944,1.7391721111965244,1.7050706972514944,30,1.0,0.0,1
2021-04-14,0.008220648270483919,1.214920170039523,1,1.797791875474276,1.707514654907169,1.7416649480053124,1.707514654907169,30,1.0,0.0,1
2021-04-15,0.002505332926581923,1.2179639495446912,1,1.804071632558153,1.7105825059305397,1.7447941560491504,1.7105825059305397,30,1.0,0.0,1
2021-04-16,0.00905069700611412,1.2289873722163904,1,1.8091398021196845,1.7131127553611718,1.7473750104683952,1.7131127553611718,30,1.0,0.0,1
2021-04-19,0.010972467270423787,1.242472395933799,1,1.816902674931112,1.715545481521821,1.7498563911522573,1.715545481521821,30,1.0,0.0,1
2021-04-20,0.006166608094716561,1.2501342362680263,1,1.8363770660289045,1.7178570825713138,1.75221422422274,1.7178570825713138,30,1.0,0.0,1
2021-04-21,-0.01426987542495339,1.2322949764520124,1,1.8179338292886071,1.7199374943732342,1.754336244260699,1.7199374943732342,30,1.0,0.0,1
2021-04-22,0.009053623073979656,1.2434517106847676,1,1.829483756724616,1.7217810002199594,1.7562166202243585,1.7217810002199594,30,1.0,0.0,1
2021-04-23,-5.101723512414386e-05,1.243388273216478,1,1.8327519467999525,1.7240106997001017,1.7584909136941038,1.7240106997001017,30,1.0,0.0,1
2021-04-26,0.019274455783658842,1.267353905510509,1,1.8541583071062377,1.7267540209318026,1.7612891013504388,1.7267540209318026,30,1.0,0.0,1
2021-04-27,-0.0050651817592081,1.260934527625856,1,1.85762033599494,1.7300363643178984,1.7646370916042564,1.7300363643178984,30,1.0,0.0,1
2021-04-28,-0.023672884804758317,1.2310845698070267,1,1.843949089655142,1.7339684574879368,1.7686478266376955,1.7339684574879368,30,1.0,0.0,1
2021-04-29,0.005111179625259548,1.237376864177196,1,1.8439562983214473,1.7371732487959517,1.7719167137718708,1.7371732487959517,30,1.0,0.0,1
2021-04-30,-0.00338294551452514,1.2331908856647507,1,1.8409771240087858,1.7400057294058706,1.774805843993988,1.7400057294058706,30,1.0,0.0,1
2021-05-03,-0.011733435071346094,1.2187213204772276,1,1.8250118506365125,1.7422881855344956,1.7771339492451856,1.7422881855344956,30,1.0,0.0,1
2021-05-04,0.005227231998284864,1.2250918595606182,1,1.8270274838620297,1.7446877971490076,1.7795815530919878,1.7446877971490076,30,1.0,0.0,1
2021-05-06,0.02557091030935041,1.256418573622158,1,1.8652040660118372,1.747467504550502,1.782416854641512,1.747467504550502,30,1.0,0.0,1
2021-05-07,0.004993663302639196,1.2626927049460095,1,1.8830229451235843,1.7505000917267055,1.7855100935612396,1.7505000917267055,30,1.0,0.0,1
2021-05-10,0.017416565690352003,1.28468447538843,1,1.9195934346268113,1.7541606050356415,1.7892438171363545,1.7541606050356415,30,1.0,0.0,1
2021-05-11,0.006733117624122353,1.2933344070711041,1,1.920274572462994,1.757586154571102,1.792737877662524,1.757586154571102,30,1.0,0.0,1
2021-05-12,-0.010209466477758458,1.2801301527975801,1,1.8954161486801249,1.7604358793629171,1.7956445969501755,1.7604358793629171,30,1.0,0.0,1
2021-05-13,-0.025047028979380142,1.2480666957630808,1,1.8800574502469811,1.7629455214842986,1.7982044319139847,1.7629455214842986,30,1.0,0.0,1
2021-05-14,0.01201647603328801,1.2630640593006628,1,1.882721936219967,1.7655902766907492,1.8009020822245643,1.7655902766907492,30,1.0,0.0,1
2021-05-17,-0.01062909723259856,1.2496388286033555,1,1.8733951460066727,1.768357936461265,1.8037250951904902,1.768357936461265,30,1.0,0.0,1
2021-05-18,0.013654631282424995,1.2667021860441359,1,1.9029875901466633,1.771523006339642,1.806953466466435,1.771523006339642,30,1.0,0.0,1
2021-05-20,-0.0014512854678197598,1.2648638395694745,1,1.8955195066418307,1.7746543603119218,1.8101474475181603,1.7746543603119218,30,1.0,0.0,1
2021-05-21,-0.016135730487029792,1.2444543375513917,1,1.8777978365007484,1.7775596705288745,1.813110863939452,1.7775596705288745,30,1.0,0.0,1
2021-05-24,0.0007665127871519004,1.2454082277141514,1,1.878325829108528,1.781337074393808,1.816963815881684,1.781337074393808,30,1.0,0.0,1
2021-05-25,0.005317777833830468,1.2520310319815597,1,1.89930822600948,1.78474062658728,1.8204354391190256,1.78474062658728,30,1.0,0.0,1
2021-05-26,0.007446182253352632,1.2613538832325477,1,1.9079157795714206,1.7888441037854383,1.824620985861147,1.7888441037854383,30,1.0,0.0,1
2021-05-27,0.011109536636338825,1.2753669404097079,1,1.9122292369593716,1.792907144074817,1.8287652869563134,1.792907144074817,30,1.0,0.0,1
2021-05-28,0.0007483835058927685,1.2763214039918716,1,1.924802698885915,1.7967362430194285,1.832670967879817,1.7967362430194285,30,1.0,0.0,1
2021-05-31,0.001361364975387323,1.2780589432486034,1,1.9379138758174883,1.8009243320568484,1.8369428186979855,1.8009243320568484,30,1.0,0.0,1
2021-06-01,0.0019690537539118987,1.2805755100085277,1,1.9503756940534476,1.8054629526509691,1.8415722117039885,1.8054629526509691,30,1.0,0.0,1
2021-06-02,0.011018032750672023,1.29468493291751,1,1.9617220171539966,1.8103872711364106,1.846595016559139,1.8103872711364106,30,1.0,0.0,1
2021-06-03,0.007735647229710421,1.3047001588321812,1,1.962805935489047,1.815408165164775,1.8517163284680707,1.815408165164775,30,1.0,0.0,1
2021-06-04,0.009318283223213819,1.3168577244335513,1,1.9677679538250967,1.8207131120587225,1.857127374299897,1.8207131120587225,30,1.0,0.0,1
2021-06-07,0.014032350230035115,1.3353363332259298,1,1.9881437992413,1.8259209598363069,1.8624393790330331,1.8259209598363069,30,1.0,0.0,1
2021-06-08,-0.0035701545840465965,1.3305689760946193,1,1.982799518240033,1.8306154081264494,1.8672277162889783,1.8306154081264494,30,1.0,0.0,1
2021-06-09,-0.002956922961819005,1.326634586136921,1,1.9683426878319858,1.8349573018770013,1.8716564479145414,1.8349573018770013,30,1.0,0.0,1
2021-06-10,-0.0060852378701437716,1.318561699113518,1,1.964507603908557,1.839015613473335,1.8757959257428019,1.839015613473335,30,1.0,0.0,1
2021-06-11,0.00018506314113897482,1.3188057162833418,1,1.9757078553572247,1.8432685940967863,1.8801339659787222,1.8432685940967863,30,1.0,0.0,1
2021-06-14,-0.0037735362952938064,1.3138291550465058,1,1.9737256130457825,1.847443535233178,1.8843924059378416,1.847443535233178,30,1.0,0.0,1
2021-06-15,-0.006377473245673817,1.3054502447608105,1,1.974540972462504,1.851669760467549,1.8887031556769,1.851669760467549,30,1.0,0.0,1
2021-06-16,0.007622356047013562,1.3154008513280386,1,1.9877192025284702,1.856097927663393,1.893219886216661,1.856097927663393,30,1.0,0.0,1
2021-06-17,-0.0006864675879002151,1.3144978712785056,1,1.9807204368571807,1.8607367371127947,1.8979514718550508,1.8607367371127947,30,1.0,0.0,1
2021-06-18,0.004899816400301956,1.320938669506358,1,1.983246110528582,1.8654327541775175,1.902741409261068,1.8654327541775175,30,1.0,0.0,1
2021-06-21,-0.018070640455183494,1.2970684617463601,1,1.9603071023694805,1.86954428980749,1.90693517560364,1.86954428980749,30,1.0,0.0,1
2021-06-22,0.019929452875695353,1.3229183265312847,1,1.9844727107154583,1.8736342916370603,1.9111069774698015,1.8736342916370603,30,1.0,0.0,1
2021-06-23,-0.009711392532579704,1.310070947373796,1,1.9756017622617104,1.877562606531497,1.915113858662127,1.877562606531497,30,1.0,0.0,1
2021-06-24,0.0031782594382504417,1.3142346927270643,1,1.9792507411947082,1.88139421071239,1.919022094926638,1.88139421071239,30,1.0,0.0,1
2021-06-25,0.011357378140014977,1.3291609530970918,1,1.9977009671548862,1.8854273573641216,1.923135904511404,1.8854273573641216,30,1.0,0.0,1
2021-06-28,0.0012725810514799777,1.3308524181403703,1,2.002525678580881,1.8895860062013432,1.9273777263253702,1.8895860062013432,30,1.0,0.0,1
2021-06-29,-0.0033878467112503493,1.3263436941524138,1,2.0010474714334485,1.8937355096544484,1.9316102198475373,1.8937355096544484,30,1.0,0.0,1
2021-06-30,-0.00029322531328907625,1.3259547766071669,1,2.0001801704079134,1.8977782973329507,1.9357338632796097,1.8977782973329507,30,1.0,0.0,1
2021-07-01,-0.002428667100174487,1.3227344738649018,1,1.994620338678963,1.9017324970228562,1.9397671469633133,1.9017324970228562,30,1.0,0.0,1
2021-07-02,0.0022655322315880675,1.3257311714492754,1,1.9998289741857278,1.905623605735344,1.9437360778500508,1.905623605735344,30,1.0,0.0,1
2021-07-05,0.007420672180399769,1.335568987871938,1,2.004510182045143,1.9094308472446786,1.947619464189572,1.9094308472446786,30,1.0,0.0,1
2021-07-06,-0.0007698139555313434,1.3345408482264993,1,2.0100512476852233,1.9133086668014865,1.9515748401375161,1.9133086668014865,30,1.0,0.0,1
2021-07-07,-0.006716337203808534,1.3255776218775535,1,1.9924219767413227,1.9168031115775686,1.95513917380912,1.9168031115775686,30,1.0,0.0,1
2021-07-08,-0.018574290143723707,1.3009559585207726,1,1.964780652360083,1.9197177454811496,1.9581121003907727,1.9197177454811496,30,1.0,0.0,1
2021-07-09,-0.005550241725058197,1.2937353384773276,1,1.9446196698198956,1.9221648753869098,1.960608172894648,1.9221648753869098,30,1.0,0.0,1
2021-07-12,0.002805537449201293,1.2973649614187808,1,1.964737909605137,1.9248426466710264,1.963339499604447,1.9248426466710264,30,1.0,0.0,1
2021-07-13,0.011433809514083428,1.3121987852578891,1,1.9813234086177287,1.9277123734459936,1.9662666209149136,1.9277123734459936,30,1.0,0.0,1
2021-07-14,-0.003336901022384287,1.3078201077897906,1,1.9774615529232697,1.930388354745863,1.96899612184078,1.930388354745863,30,1.0,0.0,1
2021-07-15,0.005932894822480439,1.3155792669360324,1,1.9938056396458093,1.9330121643061449,1.9716724075922678,1.9330121643061449,30,1.0,0.0,1
2021-07-16,0.008685800985892183,1.3270061266298045,1,1.991566223827724,1.9359060375484634,1.9746241582994326,1.9359060375484634,30,1.0,0.0,1
