strategy,rebalance_date,fund_asof_date,ticker,weight,regime,regime_score,growth_score,score_rank,top_n,good_regimes,sma_window,require_above_sma,market_gate,market_ok,market_price,market_sma,market_sma_window,market_sma_mult,market_entry_mult,market_exit_mult
S2,2017-06-30,,042700,0.03333333333333333,4.0,0.8297872340425532,10.799999999999999,7.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,051900,0.03333333333333333,3.0,0.74822695035461,30.4,22.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,056190,0.03333333333333333,4.0,0.8652482269503546,5.5,4.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,066570,0.03333333333333333,3.0,0.6028368794326241,66.5,67.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,066970,0.03333333333333333,4.0,0.9219858156028369,68.1,69.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,082740,0.03333333333333333,3.0,0.7801418439716312,53.8,47.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,095660,0.03333333333333333,3.0,0.7411347517730497,54.599999999999994,48.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,097230,0.03333333333333333,3.0,0.7695035460992907,98.0,96.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,112610,0.03333333333333333,4.0,0.9468085106382979,66.29999999999998,66.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,131290,0.03333333333333333,4.0,0.9680851063829787,91.5,92.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
